ID_REF  CH1B_MEAN	CH1B_MEDIAN	CH1D_MEAN	CH2I_MEAN	CH2D_MEAN	CH2B_MEAN	CH2B_MEDIAN	CH2BN_MEDIAN	CH2DN_MEAN	CH2IN_MEAN	CORR	FLAG	VALUE	PIX_RAT2_MEDIAN	PERGTBCH1I_1SD	PERGTBCH2I_1SD	RAT1_MEAN	RAT1N_MEAN	RAT2_MEAN	RAT2N_MEAN	REGR	TOT_BPIX	TOT_SPIX	TOP	BOT	LEFT	RIGHT	UNF_VALUE
1	2720	2608	7075	8925	7613	1424	1312	1367	7930	9297	0	0	.165	1.09	27	36	.929	.892	1.076	1.121	0	1254	80	21	31	50	60	.165
2	2687	2600	7768	9300	7996	1381	1304	1358	8330	9688	0	0	.101	.986	31	36	.971	.933	1.029	1.072	0	1074	80	21	31	61	71	.101
3	2630	2584	4575	6168	4872	1327	1296	1350	5075	6425	0	0	.15	1.047	27	31	.939	.901	1.065	1.109	0	1030	80	21	31	72	82	.15
4	2629	2568	64	1315	27	1340	1288	1342	28	1370	.151	0	-1.193	1	0	0	2.37	2.286	.422	.438	.144	1030	80	21	31	83	93	-1.193
5	2639	2568	662	1668	380	1345	1288	1342	396	1738	.927	0	-.741	.605	17	18	1.742	1.672	.574	.598	.598	1030	80	21	31	94	104	-.741
6	2628	2576	481	1650	362	1334	1288	1342	377	1719	.914	0	-.351	.818	7	11	1.329	1.276	.753	.784	.637	1030	80	21	31	105	115	-.351
7	2605	2560	11479	14597	13309	1328	1288	1342	13863	15205	0	0	.272	1.121	36	42	.862	.828	1.159	1.208	0	1053	80	21	31	116	126	.272
8	2571	2544	806	1986	706	1296	1280	1333	736	2069	.853	0	-.131	.942	17	22	1.142	1.095	.876	.913	.801	1053	80	21	31	127	137	-.131
9	2554	2536		1220		1292	1272	1325		1271	.254	0		2	0	0					.202	1048	80	21	31	139	149	
10	2540	2512		1211		1291	1264	1317		1261	.054	0		1.895	0	0					.041	1048	80	21	31	150	160	
11	2551	2512		1200		1295	1264	1317		1250	.062	0		.333	0	0					.046	1030	80	21	31	161	171	
12	2557	2512	8	1292	28	1290	1264	1317	29	1346	.617	0	1.858	.965	0	1	.286	.276	3.5	3.625	.614	1030	80	21	31	172	182	1.858
13	2563	2512	7354	9508	8244	1297	1264	1317	8587	9904	0	0	.224	1.137	41	51	.892	.856	1.121	1.168	0	1030	80	21	31	183	193	.224
14	2542	2496	4178	5281	4017	1287	1264	1317	4184	5501	0	0	.002	.944	36	41	1.04	.999	.961	1.001	0	1030	80	21	31	194	204	.002
15	2498	2472	806	1624	368	1272	1256	1308	384	1692	.917	0	-1.07	.492	32	28	2.19	2.099	.457	.476	.529	1030	80	21	31	205	215	-1.07
16	2477	2456	2580	3884	2636	1265	1248	1300	2746	4046	.95	0	.09	1.072	33	37	.979	.94	1.022	1.064	.917	1053	80	21	31	216	226	.09
17	2448	2440	1935	3031	1799	1246	1232	1283	1874	3157	.948	0	-.046	.924	31	37	1.076	1.033	.93	.968	.911	1053	80	21	31	227	237	-.046
18	2444	2432	1988	3351	2135	1238	1216	1267	2224	3491	.96	0	.162	.925	36	38	.931	.894	1.074	1.119	1.087	1048	80	21	31	239	249	.162
19	2439	2416	2538	3622	2414	1230	1208	1258	2515	3773	.929	0	-.013	.926	32	35	1.051	1.009	.951	.991	.881	1048	80	21	31	250	260	-.013
20	2429	2416	1360	2194	986	1220	1208	1258	1027	2285	.931	0	-.405	.642	32	36	1.379	1.324	.725	.755	.746	1030	80	21	31	261	271	-.405
21	2434	2416	1971	3163	1955	1222	1208	1258	2037	3295	.943	0	.048	.977	38	37	1.008	.968	.992	1.033	.946	1030	80	21	31	272	282	.048
22	2418	2408	1364	2189	981	1223	1208	1258	1022	2280	.92	0	-.416	.643	36	40	1.39	1.335	.719	.749	.711	1030	80	21	31	283	293	-.416
23	2406	2400	2579	3694	2486	1222	1208	1258	2590	3848	.925	0	.006	.963	36	42	1.037	.996	.964	1.004	.873	1030	80	21	31	294	304	.006
24	2408	2392		1220	4	1244	1216	1267	4	1271	.093	0		1.25	0	0					.08	1030	80	21	31	305	315	
25	2857	2456	1679	2485	1245	1409	1240	1292	1297	2589	.969	0	-.372	.751	45	46	1.349	1.295	.742	.772	.736	1053	80	21	31	316	326	-.372
26	2969	2544	17761	22340	21068	1469	1272	1325	21946	23271	0	0	.305	1.124	60	63	.843	.809	1.186	1.236	0	1053	80	21	31	327	337	.305
27	2978	2544	26433	29639	28375	1468	1264	1317	29557	30874	0	0	.161	1.02	67	65	.932	.894	1.073	1.118	0	1048	80	21	31	339	349	.161
28	2947	2512	2316	3633	2369	1455	1264	1317	2467	3784	.949	0	.091	.965	47	51	.978	.939	1.023	1.065	.94	1048	80	21	31	350	360	.091
29	2438	2392	1278	1788	580	1244	1208	1258	605	1863	.912	0	-1.079	.475	46	42	2.203	2.112	.454	.473	.384	1030	80	21	31	361	371	-1.079
30	2364	2336	8317	10094	8902	1218	1192	1242	9273	10515	0	0	.157	1.061	56	61	.934	.897	1.07	1.115	0	1030	80	21	31	372	382	.157
31	2351	2320	7410	9619	8435	1225	1184	1233	8787	10020	0	0	.246	1.184	51	53	.878	.843	1.138	1.186	0	1030	80	21	31	383	393	.246
32	2336	2312	1324	2228	1044	1214	1184	1233	1088	2321	.949	0	-.283	.833	42	42	1.268	1.217	.789	.822	.792	1030	80	21	31	394	404	-.283
33	2326	2312	3199	4242	3050	1216	1192	1242	3177	4419	.95	0	-.01	.88	51	52	1.049	1.007	.953	.993	.901	1030	80	21	31	405	415	-.01
34	2330	2336	2835	4205	2997	1235	1208	1258	3122	4380	.951	0	.139	1.077	45	53	.946	.908	1.057	1.101	1.001	1053	80	21	31	416	426	.139
35	2382	2400	2001	2994	1746	1278	1248	1300	1819	3119	.947	0	-.138	.846	48	52	1.146	1.1	.873	.909	1.007	1053	80	21	31	427	437	-.138
36	2396	2416	1165	2215	951	1299	1264	1317	990	2307	.93	0	-.235	.798	38	45	1.225	1.177	.816	.85	.689	1048	80	21	31	439	449	-.235
37	2406	2424	1544	2855	1583	1306	1272	1325	1649	2974	.897	0	.095	1.013	41	48	.975	.936	1.025	1.068	.728	1048	80	21	31	450	460	.095
38	2412	2384	10732	14138	12882	1316	1256	1308	13419	14727	0	0	.322	1.222	42	50	.833	.8	1.2	1.25	0	1030	80	21	31	461	471	.322
39	2358	2328	9414	13141	11917	1263	1224	1275	12414	13689	0	0	.399	1.239	50	58	.79	.758	1.266	1.319	0	1097	80	21	31	472	482	.399
40	2331	2312	11728	15775	14575	1249	1200	1250	15182	16432	0	0	.372	1.235	42	45	.805	.772	1.243	1.295	0	1141	80	21	31	483	493	.372
41	2690	2648	3328	3900	2596	1346	1304	1358	2705	4063	.965	0	-.299	.792	52	56	1.282	1.23	.78	.813	.742	1064	80	32	42	50	60	-.299
42	2713	2680	1281	2154	850	1353	1304	1358	886	2244	.938	0	-.532	.68	43	46	1.507	1.446	.664	.692	.646	804	80	32	42	61	71	-.532
43	2646	2664	3115	4150	2854	1314	1296	1350	2973	4323	.965	0	-.067	.967	47	55	1.091	1.048	.916	.954	.858	740	80	32	42	72	82	-.067
44	2653	2640	2572	3403	2123	1339	1280	1333	2212	3545	.495	0	-.218	.745	48	56	1.211	1.163	.825	.86	.489	740	80	32	42	83	93	-.218
45	2652	2632	4145	5038	3758	1331	1280	1333	3915	5248	0	0	-.082	.904	55	56	1.103	1.059	.907	.945	0	740	80	32	42	94	104	-.082
46	2656	2640	2755	3912	2640	1332	1272	1325	2750	4075	.973	0	-.003	.958	50	55	1.044	1.002	.958	.998	.938	740	80	32	42	105	115	-.003
47	2624	2608	1773	2493	1229	1321	1264	1317	1280	2597	.95	0	-.47	.712	45	47	1.443	1.385	.693	.722	.737	773	80	32	42	116	126	-.47
48	2563	2576	2268	3277	2021	1275	1256	1308	2106	3414	.953	0	-.107	.879	51	57	1.122	1.077	.891	.929	.867	773	80	32	42	127	137	-.107
49	2521	2552	1602	2420	1180	1253	1240	1292	1229	2521	.919	0	-.382	.828	45	50	1.358	1.303	.737	.767	.679	766	80	32	42	139	149	-.382
50	2523	2536	2083	3050	1818	1257	1232	1283	1894	3177	.946	0	-.137	.87	48	56	1.146	1.1	.873	.909	.825	766	80	32	42	150	160	-.137
51	2543	2536	2545	3477	2245	1267	1232	1283	2339	3622	.959	0	-.122	.918	47	53	1.134	1.088	.882	.919	.865	740	80	32	42	161	171	-.122
52	2575	2552	9753	13562	12314	1282	1248	1300	12827	14127	0	0	.395	1.233	57	61	.792	.76	1.263	1.315	0	740	80	32	42	172	182	.395
53	2580	2568	3357	4534	3278	1302	1256	1308	3415	4723	.962	0	.025	.966	55	57	1.024	.983	.976	1.017	.948	740	80	32	42	183	193	.025
54	2564	2544	9331	11366	10110	1291	1256	1308	10532	11840	0	0	.175	1.077	60	70	.923	.886	1.083	1.129	0	740	80	32	42	194	204	.175
55	2512	2520	2115	3218	1962	1276	1256	1308	2044	3352	.95	0	-.049	1	51	56	1.078	1.035	.928	.966	.868	740	80	32	42	205	215	-.049
56	2494	2504	4656	6232	4984	1272	1248	1300	5192	6492	0	0	.157	1.081	52	60	.934	.897	1.07	1.115	0	773	80	32	42	216	226	.157
57	2469	2480	971	1625	385	1253	1240	1292	401	1693	.9	0	-1.276	.411	45	38	2.522	2.421	.396	.413	.429	773	80	32	42	227	237	-1.276
58	2474	2480	2305	3150	1918	1249	1232	1283	1998	3281	.968	0	-.206	.834	48	55	1.202	1.154	.832	.867	.821	766	80	32	42	239	249	-.206
59	2517	2480	1453	2384	1160	1280	1224	1275	1208	2483	.921	0	-.266	.816	45	52	1.253	1.203	.798	.831	.728	766	80	32	42	250	260	-.266
60	2529	2488	1448	2399	1175	1276	1224	1275	1224	2499	.94	0	-.242	.805	45	52	1.232	1.183	.811	.845	.751	740	80	32	42	261	271	-.242
