ID_REF  CH1B_MEAN	CH1B_MEDIAN	CH1D_MEAN	CH2I_MEAN	CH2D_MEAN	CH2B_MEAN	CH2B_MEDIAN	CH2BN_MEDIAN	CH2DN_MEAN	CH2IN_MEAN	CORR	FLAG	VALUE	PIX_RAT2_MEDIAN	PERGTBCH1I_1SD	PERGTBCH2I_1SD	RAT1_MEAN	RAT1N_MEAN	RAT2_MEAN	RAT2N_MEAN	REGR	TOT_BPIX	TOT_SPIX	TOP	BOT	LEFT	RIGHT	UNF_VALUE
1	2049	2008	8953	9529	8401	1157	1128	1327	9884	11211	0	0	.143	1.067	27	36	1.066	.906	.938	1.104	0	1230	80	36	46	85	95	.143
2	2075	2048	9944	10292	9132	1180	1160	1365	10743	12108	0	0	.111	.994	33	37	1.089	.926	.918	1.08	0	1044	80	36	46	96	106	.111
3	2080	2048	3581	4377	3201	1199	1176	1384	3765	5149	0	0	.072	.879	27	33	1.119	.951	.894	1.051	0	1017	80	36	46	107	117	.072
4	2080	2048	21	1180	4	1200	1176	1384	4	1388	.255	0	-2.392	.623	1	1	5.25	5.25	.19	.19	.209	1017	80	36	46	118	128	-2.392
5	2080	2048	223	1262	78	1204	1184	1393	92	1485	.457	0	-1.277	.503	8	5	2.859	2.424	.35	.413	.198	1012	80	36	46	130	140	-1.277
6	2074	2040	68	1244	76	1198	1168	1374	90	1464	.668	0	.404	.68	5	7	.895	.756	1.118	1.324	.503	1009	80	36	46	141	151	.404
7	2080	2040	13007	8161	7001	1207	1160	1365	8236	9601	0	0	-.659	.564	37	41	1.858	1.579	.538	.633	0	993	80	36	46	152	162	-.659
8	2093	2040	1297	2090	930	1212	1160	1365	1094	2459	.956	0	-.246	.748	23	28	1.395	1.186	.717	.843	.712	993	80	36	46	163	173	-.246
9	2089	2000	54	1127		1214	1160	1365		1326	-.129	0		.436	3	2					-.07	993	80	36	46	174	184	
10	2109	2008	78	1201	49	1221	1152	1355	58	1413	.215	0	-.427	.861	5	2	1.592	1.345	.628	.744	.085	993	80	36	46	185	195	-.427
11	2154	2040	535	1405	237	1236	1168	1374	279	1653	.678	0	-.939	.681	21	15	2.257	1.918	.443	.521	.305	1017	80	36	46	196	206	-.939
12	2215	2056	173	1307	123	1302	1184	1393	145	1538	.746	0	-.255	.778	3	5	1.407	1.193	.711	.838	.345	1017	80	36	46	207	217	-.255
13	2223	2080	15432	14300	13092	1311	1208	1421	15403	16824	0	0	-.003	.8	47	52	1.179	1.002	.848	.998	0	1012	80	36	46	219	229	-.003
14	2182	2056	5095	7149	5949	1304	1200	1412	6999	8411	0	0	.458	1.14	37	48	.856	.728	1.168	1.374	0	1012	80	36	46	230	240	.458
15	2094	2040	1071	1985	785	1245	1200	1412	923	2335	.887	0	-.215	.755	37	35	1.364	1.16	.733	.862	.739	993	80	36	46	241	251	-.215
16	2055	2032	1824	2788	1588	1217	1200	1412	1868	3280	.977	0	.034	.957	30	36	1.149	.976	.871	1.024	.942	993	80	36	46	252	262	.034
17	2049	2032	2317	3561	2377	1207	1184	1393	2796	4189	.973	0	.271	.985	32	40	.975	.829	1.026	1.207	.988	993	80	36	46	263	273	.271
18	2029	2024	3071	4758	3558	1214	1200	1412	4186	5598	.954	0	.447	1.097	41	47	.863	.734	1.159	1.363	1.13	993	80	36	46	274	284	.447
19	2028	2016	1308	2311	1111	1217	1200	1412	1307	2719	.877	0	-.001	.857	30	36	1.177	1.001	.849	.999	.696	997	80	36	46	285	295	-.001
20	2059	2032	569	1430	214	1242	1216	1431	251	1682	.741	0	-1.181	.531	22	17	2.659	2.267	.376	.441	.402	1017	80	36	46	296	306	-1.181
21	2074	2040	1090	1959	735	1248	1224	1440	865	2305	.891	0	-.334	.731	27	30	1.483	1.26	.674	.794	.639	1017	80	36	46	307	317	-.334
22	2070	2016	871	1685	469	1240	1216	1431	551	1982	.728	0	-.661	.621	32	30	1.857	1.581	.538	.633	.453	1012	80	36	46	319	329	-.661
23	2046	2000	1877	2526	1318	1231	1208	1421	1551	2972	.949	0	-.275	.644	33	35	1.424	1.21	.702	.826	.716	1009	80	36	46	330	340	-.275
24	2004	1960	96	1213	29	1205	1184	1393	34	1427	.031	0	-1.497	.49	1	1	3.31	2.824	.302	.354	.02	993	80	36	46	341	351	-1.497
