ID_REF  CH1B_MEAN	CH1B_MEDIAN	CH1D_MEAN	CH2I_MEAN	CH2D_MEAN	CH2B_MEAN	CH2B_MEDIAN	CH2BN_MEDIAN	CH2DN_MEAN	CH2IN_MEAN	CORR	FLAG	VALUE	PIX_RAT2_MEDIAN	PERGTBCH1I_1SD	PERGTBCH2I_1SD	RAT1_MEAN	RAT1N_MEAN	RAT2_MEAN	RAT2N_MEAN	REGR	TOT_BPIX	TOT_SPIX	TOP	BOT	LEFT	RIGHT	UNF_VALUE
1	1353	1336	3769	5414	4414	1045	1000	1149	5074	6223	0	0	.429	1.132	36	43	.854	.743	1.171	1.346	0	1011	80	9	19	63	73	.429
2	1383	1360	5041	5886	4862	1074	1024	1177	5589	6766	0	0	.149	.982	37	42	1.037	.902	.964	1.109	0	851	80	9	19	74	84	.149
3	1368	1336	4961	5784	4768	1070	1016	1168	5480	6648	0	0	.144	.892	37	42	1.04	.905	.961	1.105	0	807	80	9	19	85	95	.144
4	1378	1328	47	1045	29	1073	1016	1168	33	1201	.322	0	-.51	1.333	0	0	1.621	1.424	.617	.702	.321	802	80	9	19	97	107	-.51
5	1401	1344	61	1091	51	1071	1040	1195	59	1254	.466	0	-.048	.938	0	0	1.196	1.034	.836	.967	.416	800	80	9	19	108	118	-.048
6	1480	1416	234	1230	142	1139	1088	1251	163	1414	.803	0	-.522	.829	12	12	1.648	1.436	.607	.697	.534	784	80	9	19	119	129	-.522
7	1501	1440	12272	14731	13635	1155	1096	1260	15672	16932	0	0	.353	1.027	50	51	.9	.783	1.111	1.277	0	780	80	9	19	130	140	.353
8	1496	1440	3303	4797	3701	1153	1096	1260	4254	5514	5.444	0	.365	.928	38	45	.892	.776	1.12	1.288	1.091	770	80	9	19	141	151	.365
9	1477	1408	174	1241	153	1143	1088	1251	175	1426	.784	0	.008	.769	1	2	1.137	.994	.879	1.006	1.144	760	80	9	19	152	162	.008
10	1427	1392	112	1209	121	1105	1088	1251	139	1390	.355	0	.312	.958	0	0	.926	.806	1.08	1.241	.313	750	80	9	19	163	173	.312
11	1464	1424	61	1164	52	1140	1112	1278	60	1338	.311	0	-.024	.862	0	0	1.173	1.017	.852	.984	.243	771	80	9	19	174	184	-.024
12	1496	1448	15	1159	7	1176	1152	1324	8	1332	.661	0	-.907	1.308	0	0	2.143	1.875	.467	.533	.732	771	80	9	19	185	195	-.907
13	1556	1512	15477	14792	13592	1226	1200	1379	15623	17002	0	0	.014	.904	56	57	1.139	.991	.878	1.009	0	766	80	9	19	197	207	.014
14	1572	1528	4814	6894	5686	1234	1208	1389	6535	7924	0	0	.441	1.39	37	43	.847	.737	1.181	1.357	0	766	80	9	19	208	218	.441
15	1532	1512	611	1711	527	1201	1184	1361	606	1967	.914	0	-.012	.947	30	33	1.159	1.008	.863	.992	.803	747	80	9	19	219	229	-.012
16	1487	1448	3048	4180	3044	1160	1136	1306	3499	4805	0	0	.199	1.103	33	37	1.001	.871	.999	1.148	0	747	80	9	19	230	240	.199
17	1417	1384	3741	5045	3981	1100	1064	1223	4576	5799	0	0	.291	1.063	37	41	.94	.818	1.064	1.223	0	747	80	9	19	241	251	.291
18	1391	1360	2468	4036	2996	1082	1040	1195	3444	4639	.975	0	.481	1.205	42	47	.824	.717	1.214	1.395	1.153	747	80	9	19	252	262	.481
19	1397	1384	4271	5169	4105	1083	1064	1223	4718	5941	0	0	.144	.955	36	38	1.04	.905	.961	1.105	0	747	80	9	19	263	273	.144
20	1426	1400	2041	2726	1630	1108	1096	1260	1873	3133	.958	0	-.124	.828	37	42	1.252	1.09	.799	.918	.798	771	80	9	19	274	284	-.124
21	1465	1440	2004	2942	1814	1145	1128	1297	2085	3382	.973	0	.057	1.027	37	41	1.105	.961	.905	1.04	.853	771	80	9	19	285	295	.057
