ID_REF	CH1B_MEAN	CH1B_MEDIAN	CH1D_MEAN	CH2I_MEAN	CH2D_MEAN	CH2B_MEAN	CH2B_MEDIAN	CH2BN_MEDIAN	CH2DN_MEAN	CH2IN_MEAN	CORR	FLAG	VALUE	PIX_RAT2_MEDIAN	PERGTBCH1I_1SD	PERGTBCH2I_1SD	RAT1_MEAN	RAT1N_MEAN	RAT2_MEAN	RAT2N_MEAN	REGR	TOT_BPIX	TOT_SPIX	TOP	BOT	LEFT	RIGHT	UNF_VALUE
1	989	976	2498	2956	2156	811	800	1053	2836	3889	.971	0	.183	.836	30	32	1.159	.881	.863	1.135	.825	926	80	7	17	39	49	.183
2	1032	1016	2938	3499	2659	856	840	1105	3499	4604	.987	0	.252	.909	35	36	1.105	.84	.905	1.191	.86	712	80	7	17	51	61	.252
3	1046	1032	2088	2697	1841	865	856	1126	2423	3549	.984	0	.215	.875	27	31	1.134	.862	.882	1.16	.829	684	80	7	17	62	72	.215
4	1121	1056	23	897	9	959	888	1168	12	1180	.479	0	-.939	.778	1	1	2.556	1.917	.391	.522	.415	665	80	7	17	73	83	-.939
5	1141	1088		895		978	912	1200		1178	-.056	0		.5	0	0					-.045	665	80	7	17	84	94	
6	1149	1096	260	1155	235	985	920	1211	309	1520	.949	0	.249	1	10	12	1.106	.841	.904	1.188	.756	665	80	7	17	95	105	.249
7	1153	1104	8381	10222	9294	986	928	1221	12229	13450	0	0	.545	1.179	45	45	.902	.685	1.109	1.459	0	665	80	7	17	106	116	.545
8	1106	1096	708	1648	728	936	920	1211	957	2168	.975	0	.435	1.113	18	27	.973	.74	1.028	1.352	.849	675	80	7	17	117	127	.435
9	1117	1112		923		943	928	1221		1214	.063	0		1	0	0					.055	689	80	7	17	128	138	
10	1122	1112	25	939	19	942	920	1211	25	1236	.2	0	0	1	0	0	1.316	1	.76	1	.193	684	80	7	17	140	150	0
11	1138	1128	7	918		954	936	1232		1208	.166	0		.333	0	0					.112	684	80	7	17	151	161	
12	1184	1168	13	959		989	960	1263		1262	.275	0		.571	0	0					.187	676	80	7	17	162	172	
13	1480	1208	12899	6580	5588	1433	992	1305	7353	8658	0	0	-.811	.442	58	57	2.308	1.754	.433	.57	0	665	80	7	17	173	183	-.811
14	1492	1216	3842	4549	3533	1451	1016	1337	4649	5986	0	0	.275	.917	37	41	1.087	.826	.92	1.21	0	665	80	7	17	184	194	.275
15	1480	1208	693	10952	9944	1431	1008	1326	13085	14411	0	0	4.239	13.3	36	52	.07	.053	14.349	18.882	0	665	80	7	17	195	205	4.239
16	1446	1176	2518	4642	3658	1400	984	1295	4813	6108	0	0	.935	1.619	36	42	.688	.523	1.453	1.911	0	665	80	7	17	206	216	.935
17	1161	1160	3080	4347	3387	958	960	1263	4457	5720	0	0	.533	1.123	31	37	.909	.691	1.1	1.447	0	675	80	7	17	217	227	.533
18	1147	1144	2549	6224	5288	936	936	1232	6957	8189	0	0	1.449	2.05	45	50	.482	.366	2.075	2.729	0	689	80	7	17	228	238	1.449
19	1173	1160	3184	3693	2765	957	928	1221	3638	4859	.978	0	.192	.863	36	38	1.152	.875	.868	1.143	.809	684	80	7	17	240	250	.192
20	1183	1168	1444	2046	1118	961	928	1221	1471	2692	.953	0	.027	.751	33	37	1.292	.982	.774	1.019	.725	684	80	7	17	251	261	.027
21	1217	1192	2176	2461	1509	989	952	1253	1985	3238	.961	0	-.133	.701	40	42	1.442	1.096	.693	.912	.695	676	80	7	17	262	272	-.133
22	1238	1216	1396	2128	1152	1026	976	1284	1516	2800	.93	0	.119	.823	40	42	1.212	.921	.825	1.086	.835	665	80	7	17	273	283	.119
23	1238	1224	5368	5302	4302	1026	1000	1316	5660	6976	0	0	.076	.826	46	47	1.248	.948	.801	1.054	0	665	80	7	17	284	294	.076
