ID_REF  CH1B_MEAN	CH1B_MEDIAN	CH1D_MEAN	CH2I_MEAN	CH2D_MEAN	CH2B_MEAN	CH2B_MEDIAN	CH2BN_MEDIAN	CH2DN_MEAN	CH2IN_MEAN	CORR	FLAG	VALUE	PIX_RAT2_MEDIAN	PERGTBCH1I_1SD	PERGTBCH2I_1SD	RAT1_MEAN	RAT1N_MEAN	RAT2_MEAN	RAT2N_MEAN	REGR	TOT_BPIX	TOT_SPIX	TOP	BOT	LEFT	RIGHT	UNF_VALUE
1	2575	2552	8750	9687	7183	2635	2504	2636	7561	10197	0	0	-.211	1	28	35	1.218	1.157	.821	.864	0	1230	80	36	46	58	68	-.211
2	2875	2656	8787	10150	7574	3011	2576	2712	7972	10684	0	0	-.14	.909	31	37	1.16	1.102	.862	.907	0	1044	80	36	46	69	79	-.14
3	2933	2704	4898	7638	5038	3058	2600	2737	5303	8040	0	0	.115	.998	27	30	.972	.924	1.029	1.083	0	1007	80	36	46	80	90	.115
4	2956	2728		2281		3049	2576	2712		2401	.162	0		.063	0	0					.107	1017	80	36	46	91	101	
5	2929	2736	516	3005	429	2975	2576	2712	451	3163	.938	0	-.194	1.027	11	13	1.203	1.144	.831	.874	.965	1027	80	36	46	102	112	-.194
6	2763	2744	677	3363	803	2685	2560	2695	845	3540	.937	0	.32	.972	11	12	.843	.801	1.186	1.248	1.117	1053	80	36	46	113	123	.32
7	2753	2736	8289	10394	7826	2683	2568	2703	8238	10941	0	0	-.009	.923	33	36	1.059	1.006	.944	.994	0	1053	80	36	46	124	134	-.009
8	2726	2704	1269	4270	1678	2693	2592	2728	1767	4495	.946	0	.478	1.164	17	23	.756	.718	1.322	1.392	1.2	1048	80	36	46	136	146	.478
9	2761	2728		2356		2761	2648	2787		2480	.18	0		0	0	0					.145	1048	80	36	46	147	157	
10	2794	2736		2340		2756	2640	2779		2463	.187	0		0	0	0					.136	1030	80	36	46	158	168	
11	2842	2792		2360		2767	2664	2804		2484	.461	0		6.667	0	1					.995	1030	80	36	46	169	179	
12	2883	2848		2317		2792	2704	2846		2439	.42	0		0	0	0					.275	1030	80	36	46	180	190	
13	2932	2880	19937	10160	7392	2866	2768	2914	7781	10695	0	0	-1.357	.371	52	47	2.697	2.562	.371	.39	0	1030	80	36	46	191	201	-1.357
14	2956	2896	7548	9399	6527	3000	2872	3023	6871	9894	0	0	-.136	.904	37	41	1.156	1.099	.865	.91	0	1030	80	36	46	202	212	-.136
15	3017	2944	913	5850	2898	3107	2952	3107	3051	6158	.953	0	1.741	2.886	26	36	.315	.299	3.174	3.342	3.48	1040	80	36	46	213	223	1.741
16	3071	2984	5018	8252	5284	3130	2968	3124	5562	8686	0	0	.148	1.141	33	36	.95	.902	1.053	1.108	0	1053	80	36	46	224	234	.148
17	3129	3000	5680	10517	7565	3149	2952	3107	7964	11071	0	0	.488	1.515	32	41	.751	.713	1.332	1.402	0	1048	80	36	46	236	246	.488
18	3155	3032	2220	9115	6139	3156	2976	3133	6462	9595	0	0	1.541	2.716	37	41	.362	.344	2.765	2.911	0	1048	80	36	46	247	257	1.541
19	3091	2992	6618	9902	6926	3141	2976	3133	7290	10423	0	0	.14	1.109	32	37	.956	.908	1.047	1.102	0	1040	80	36	46	258	268	.14
20	3058	2960	3440	6515	3491	3201	3024	3183	3675	6858	0	0	.095	1.091	38	43	.985	.936	1.015	1.068	0	1030	80	36	46	269	279	.095
21	2982	2960	5603	8733	5669	3183	3064	3225	5968	9193	0	0	.091	.989	45	45	.988	.939	1.012	1.065	0	1030	80	36	46	280	290	.091
22	3166	2968	3381	6461	3389	3464	3072	3234	3567	6801	0	0	.077	.959	40	46	.998	.948	1.002	1.055	0	1030	80	36	46	291	301	.077
23	3315	2992	9354	13745	10673	3733	3072	3234	11234	14468	0	0	.264	1.088	45	48	.876	.833	1.141	1.201	0	993	80	37	47	302	312	.264
24	3392	3032		2882		4062	3072	3234		3034	.33	0		1.014	0	1					.96	993	80	37	47	313	323	
25	3481	3072	2721	5682	2562	4378	3120	3284	2697	5981	.961	0	-.013	.952	43	47	1.062	1.009	.942	.991	.849	1017	80	37	47	324	334	-.013
26	3283	3048	26234	11954	8818	4334	3136	3301	9282	12583	0	0	-1.499	.362	57	53	2.975	2.826	.336	.354	0	1017	80	37	47	335	345	-1.499
27	3257	3072	28248	31679	28511	4444	3168	3335	30011	33346	0	0	.087	.999	60	63	.991	.941	1.009	1.062	0	1012	80	37	47	347	357	.087
28	3336	3072	4104	12075	8899	4953	3176	3343	9368	12711	0	0	1.191	2.167	51	58	.461	.438	2.168	2.283	0	1012	80	37	47	358	368	1.191
29	3312	3056	1177	4702	1550	5143	3152	3318	1631	4949	.931	0	.471	1.317	32	45	.759	.722	1.317	1.386	1.225	993	80	37	47	369	379	.471
30	3364	3048	13786	8532	5396	5328	3136	3301	5680	8981	0	0	-1.279	.413	55	57	2.555	2.427	.391	.412	0	993	80	37	47	380	390	-1.279
31	3380	3040	7271	24726	21614	5360	3112	3276	22751	26027	0	0	1.646	3.093	47	52	.336	.32	2.973	3.129	0	993	80	37	47	391	401	1.646
32	3327	3024	1093	4412	1284	5117	3128	3293	1351	4644	.925	0	.306	1.214	35	41	.851	.809	1.175	1.236	1.06	993	80	37	47	402	412	.306
33	3315	3008	3888	5123	1979	5167	3144	3309	2084	5393	0	0	-.9	.517	47	46	1.965	1.866	.509	.536	0	993	80	37	47	413	423	-.9
34	3303	3016	3510	9189	6021	5281	3168	3335	6338	9673	0	0	.853	1.716	46	53	.583	.554	1.715	1.806	0	993	80	37	47	424	434	.853
35	3395	2984	1633	4277	1141	5555	3136	3301	1201	4502	.868	0	-.443	.724	51	42	1.431	1.36	.699	.735	.664	1017	80	37	47	435	445	-.443
36	3407	2976	1107	8568	5432	5644	3136	3301	5718	9019	0	0	2.369	4.733	37	58	.204	.194	4.907	5.165	0	1017	80	37	47	446	456	2.369
37	3432	3008	1143	4338	1202	5671	3136	3301	1265	4566	.942	0	.146	1.138	37	38	.951	.904	1.052	1.107	1.046	1012	80	37	47	458	468	.146
38	3401	2968	9363	12855	9791	5567	3064	3225	10307	13532	0	0	.139	1.104	43	50	.956	.908	1.046	1.101	0	1012	80	37	47	469	479	.139
39	3174	2920	8138	11965	8957	4987	3008	3166	9429	12595	0	0	.212	1.12	38	41	.909	.863	1.101	1.159	0	1064	80	37	47	480	490	.212
40	3090	2864	11442	14294	11318	4811	2976	3133	11913	15046	0	0	.058	1.047	40	45	1.011	.96	.989	1.041	0	1111	80	37	47	491	501	.058
41	2556	2512	4248	3925	1605	2367	2320	2442	1690	4132	0	0	-1.33	.41	56	57	2.647	2.514	.378	.398	0	1064	80	47	57	58	68	-1.33
42	2831	2656	1186	7171	4787	2635	2384	2509	5039	7548	0	0	2.087	3.482	38	57	.248	.235	4.036	4.249	0	804	80	47	57	69	79	2.087
43	2903	2712	3755	5471	3063	2693	2408	2535	3224	5759	0	0	-.22	.857	48	56	1.226	1.165	.816	.859	0	740	80	47	57	80	90	-.22
44	3060	2704	5414	10101	7717	2835	2384	2509	8124	10633	0	0	.585	1.154	52	60	.702	.666	1.425	1.501	0	740	80	47	57	91	101	.585
45	3053	2720	3474	5334	2942	2846	2392	2518	3097	5615	0	0	-.166	.837	52	55	1.181	1.122	.847	.891	0	740	80	47	57	102	112	-.166
46	2928	2736	3652	15821	13397	2693	2424	2552	14102	16654	0	0	1.949	3.618	53	62	.273	.259	3.668	3.861	0	773	80	47	57	113	123	1.949
47	2931	2744	1459	4198	1758	2704	2440	2568	1851	4419	.956	0	.343	1.18	43	50	.83	.788	1.205	1.269	1.116	773	80	47	57	124	134	.343
48	2778	2736	2906	8173	5709	2560	2464	2594	6009	8603	0	0	1.048	1.914	56	61	.509	.484	1.965	2.068	0	766	80	47	57	136	146	1.048
49	2824	2744	1741	4550	2054	2584	2496	2627	2162	4789	.943	0	.312	1.238	42	47	.848	.805	1.18	1.242	.937	766	80	47	57	147	157	.312
50	2882	2752	2764	6468	3972	2580	2496	2627	4181	6808	0	0	.597	1.446	50	58	.696	.661	1.437	1.513	0	740	80	47	57	158	168	.597
51	2936	2800	2348	4465	1929	2634	2536	2669	2031	4700	.969	0	-.209	.786	50	48	1.217	1.156	.822	.865	.777	740	80	47	57	169	179	-.209
52	2975	2872	24549	9859	7275	2683	2584	2720	7658	10378	0	0	-1.681	.309	63	62	3.374	3.206	.296	.312	0	740	80	47	57	180	190	-1.681
53	3012	2912	6860	14885	12245	2749	2640	2779	12889	15668	0	0	.91	1.726	57	68	.56	.532	1.785	1.879	0	740	80	47	57	191	201	.91
54	3028	2944	12764	16935	14247	2870	2688	2829	14997	17826	0	0	.233	1.145	60	65	.896	.851	1.116	1.175	0	703	80	48	58	202	212	.233
55	3064	2976	2202	18634	15850	2985	2784	2931	16684	19615	0	0	2.922	6.848	47	61	.139	.132	7.198	7.577	0	713	80	48	58	213	223	2.922
56	3106	3000	6469	8875	6043	3027	2832	2981	6361	9342	0	0	-.024	.919	55	55	1.07	1.017	.934	.983	0	737	80	48	58	224	234	-.024
57	3062	3000	891	4542	1726	2968	2816	2964	1817	4781	.931	0	1.028	1.797	30	47	.516	.49	1.937	2.039	1.877	737	80	48	58	235	245	1.028
58	3051	3008	2886	5368	2528	2915	2840	2989	2662	5651	.963	0	-.117	.869	52	53	1.142	1.084	.876	.922	.818	730	80	48	58	247	257	-.117
