ID_REF	CH1B_MEAN	CH1B_MEDIAN	CH1D_MEAN	CH2I_MEAN	CH2D_MEAN	CH2B_MEAN	CH2B_MEDIAN	CH2BN_MEDIAN	CH2DN_MEAN	CH2IN_MEAN	CORR	FLAG	VALUE	PIX_RAT2_MEDIAN	PERGTBCH1I_1SD	PERGTBCH2I_1SD	RAT1_MEAN	RAT1N_MEAN	RAT2_MEAN	RAT2N_MEAN	REGR	TOT_BPIX	TOT_SPIX	TOP	BOT	LEFT	RIGHT	UNF_VALUE
1	1448	1320	3572	4959	3911	1214	1048	989	3689	4678	0	0	.046	1.097	26	32	.913	.968	1.095	1.033	0	1230	80	16	26	55	65	.046
2	1353	1328	3924	4921	3857	1086	1064	1004	3638	4642	0	0	-.109	.997	28	35	1.017	1.079	.983	.927	0	1040	80	16	26	66	76	-.109
3	1393	1352	2361	3565	2477	1124	1088	1026	2337	3363	.961	0	-.015	1.065	26	28	.953	1.01	1.049	.99	.999	993	80	16	26	77	87	-.015
4	1433	1376	39	1133	21	1163	1112	1049	20	1069	.362	0	-.963	1.2	0	0	1.857	1.95	.538	.513	.369	1030	80	15	25	88	98	-.963
5	1526	1408	305	1323	163	1244	1160	1094	154	1248	.879	0	-.986	.628	12	6	1.871	1.981	.534	.505	.611	1026	80	15	25	99	109	-.986
6	1564	1424	509	1547	363	1278	1184	1117	342	1459	.97	0	-.574	.672	18	15	1.402	1.488	.713	.672	.796	1020	80	15	25	110	120	-.574
7	1572	1432	6634	11438	10254	1282	1184	1117	9674	10791	0	0	.544	1.115	52	42	.647	.686	1.546	1.458	0	1030	80	15	25	121	131	.544
8	1549	1424	1107	2336	1152	1265	1184	1117	1087	2204	.943	0	-.026	.917	20	25	.961	1.018	1.041	.982	.951	1020	80	15	25	132	142	-.026
9	1501	1424	153	1276	100	1229	1176	1109	95	1204	.583	0	-.688	.63	3	5	1.53	1.611	.654	.621	.483	1012	80	15	25	144	154	-.688
10	1510	1440	43	1196	4	1239	1192	1125	3	1128	.392	0	-3.841	.778	0	0	10.75	14.333	.093	.07	.311	1009	80	15	25	155	165	-3.841
11	1538	1464	124	1282	66	1274	1216	1147	62	1209	.554	0	-1	.756	0	0	1.879	2	.532	.5	.538	993	80	15	25	166	176	-1
12	1608	1528	125	1376	88	1351	1288	1215	83	1298	.486	0	-.591	1	0	1	1.42	1.506	.704	.664	.623	993	80	15	25	177	187	-.591
13	1669	1560	13883	19591	18271	1415	1320	1245	17237	18482	0	0	.312	1.285	56	58	.76	.805	1.316	1.242	0	993	80	15	25	188	198	.312
14	1712	1608	4928	7837	6477	1458	1360	1283	6110	7393	0	0	.31	1.167	43	58	.761	.807	1.314	1.24	0	993	80	15	25	199	209	.31
